Name,Price,Old Price,Discount,Rating
"SAMSUNG Galaxy A36 5G (Awesome Black, 256 GB)","₹36,999","₹41,999",11% off,4.4
"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹12,197","₹15,999",23% off,4.2
"SAMSUNG Galaxy S24 5G (Marble Gray, 256 GB)","₹56,617","₹79,999",29% off,4.5
"SAMSUNG Galaxy Z Flip6 5G (Silver Shadow, 256 GB)","₹84,990","₹1,09,999",22% off,4.5
"SAMSUNG M15 (Blue Topaz, 128 GB)","₹11,945","₹15,999",25% off,4.1
"SAMSUNG M16 5G (Blush Pink, 128 GB)","₹12,520","₹13,654",8% off,4.5
"SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)","₹57,886","₹79,999",27% off,4.5
"SAMSUNG Galaxy M16 5G (Mint Green, 128 GB)","₹13,797","₹17,499",21% off,4.3
"SAMSUNG Galaxy A25 5G (Yellow, 256 GB)","₹20,855","₹31,499",33% off,4.3
"SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)","₹70,999","₹79,999",11% off,4.5
"SAMSUNG Galaxy A06 (Black, 64 GB)","₹9,999","₹11,499",13% off,4.3
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,499","₹15,999",21% off,4.1
"SAMSUNG Galaxy S24 5G (Amber Yellow, 128 GB)","₹62,999","₹74,999",16% off,4.5
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,499","₹21,499",27% off,4.2
"SAMSUNG Galaxy A25 5G (Yellow, 128 GB)","₹18,490","₹28,499",35% off,4.3
"SAMSUNG Galaxy A36 5G (Awesome Lavender, 128 GB)","₹28,399","₹35,999",21% off,4.3
"SAMSUNG Galaxy A06 (Gold, 128 GB)","₹11,499","₹12,499",8% off,4.3
"SAMSUNG Galaxy A06 (Gold, 64 GB)","₹9,999","₹11,499",13% off,4.3
"SAMSUNG M16 5G (Thunder Black, 128 GB)","₹12,146","₹13,414",9% off,4.5
"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹13,990","₹16,999",17% off,4.3
"SAMSUNG Galaxy M16 5G (Thunder Black, 128 GB)","₹13,799","₹14,999",8% off,4.3
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹25,999",,,4.2
"SAMSUNG Galaxy A06 (Black, 128 GB)","₹11,499","₹12,499",8% off,4.3
"SAMSUNG Galaxy S24 5G (Amber Yellow, 512 GB)","₹82,999","₹89,999",7% off,4.5
"SAMSUNG M15 5G (Celestrial Blue, 128 GB)","₹12,599","₹15,999",21% off,4.3
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹16,799","₹24,499",31% off,4.2
"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹28,099","₹36,999",24% off,4.3
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹10,499","₹15,499",32% off,4.1
"SAMSUNG Galaxy A35 5G (Awesome Navy, 256 GB)","₹27,999","₹36,999",24% off,4.3
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹34,999","₹79,999",56% off,4.4
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 256 GB)","₹28,099","₹36,999",24% off,4.3
"SAMSUNG M06 5G (Sage Green, 128 GB)","₹11,295","₹15,499",27% off,3.9
"SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)","₹37,499","₹45,999",18% off,4.3
"SAMSUNG Galaxy A53 (Awesome Peach, 256 GB)","₹34,670","₹42,990",19% off,4.1
"SAMSUNG Galaxy A26 5G (Awesome Mint, 256 GB)","₹27,999","₹30,999",9% off,3.8
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999","₹14,999",26% off,4.3
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹18,999","₹25,999",26% off,4.2
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 256 GB)","₹34,990","₹64,999",46% off,4.3
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)","₹49,999","₹95,999",47% off,4.6
"SAMSUNG Galaxy M55 5G (Light Green, 256 GB)","₹27,983","₹34,999",20% off,4.2
"SAMSUNG Galaxy A25 5G (Blue, 256 GB)","₹25,299","₹31,499",19% off,4.3
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹45,999","₹69,999",34% off,4.4
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹18,999","₹25,999",26% off,4.2
SAMSUNG Guru 1200,"₹1,199","₹1,699",29% off,3.3
"SAMSUNG Galaxy A26 5G (Awesome Peach, 128 GB)","₹24,999","₹27,999",10% off,3.8
SAMSUNG Guru Music 2 B310ED,"₹1,399","₹1,999",30% off,3.2
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹15,990","₹22,999",30% off,4.1
"SAMSUNG A06 5G (Black, 128 GB)","₹11,380","₹15,499",26% off,
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹16,799","₹24,499",31% off,4.2
"SAMSUNG Galaxy A06 5G (Black, 64 GB)","₹9,999","₹11,999",16% off,3.8
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)","₹45,894",,,4.3
"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)","₹11,999",,,4.2
"SAMSUNG Galaxy M16 5G (Mint Green, 128 GB)","₹12,144","₹13,999",13% off,3.4
"SAMSUNG Galaxy A25 5G (Blue Black, 256 GB)","₹29,999","₹31,499",4% off,4.3
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)","₹45,999","₹69,999",34% off,4.3
"SAMSUNG Galaxy A53 (Awesome Black, 128 GB)","₹31,999","₹38,990",17% off,4
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 128 GB)","₹30,990","₹41,999",26% off,4.3
"SAMSUNG Gaxy S22 5G (Green, 128 GB)","₹72,999","₹85,999",15% off,4.4
"SAMSUNG Galaxy A05 (Black, 64 GB)","₹8,490","₹12,490",32% off,4.2
"SAMSUNG A06 5G (Light Grey, 128 GB)","₹12,999","₹16,999",23% off,
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹22,999","₹25,999",11% off,4.2
"SAMSUNG Galaxy A06 5G (Light Gray, 128 GB)","₹11,375","₹15,499",26% off,3.8
"SAMSUNG Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","₹14,999",26% off,4.3
"SAMSUNG Galaxy A06 5G (Light Gray, 64 GB)","₹9,999","₹13,999",28% off,3.8
"SAMSUNG Galaxy A26 5G (Awesome Black, 256 GB)","₹27,999","₹30,999",9% off,3.8
SAMSUNG SM-B310EZDDINS,"₹1,259","₹2,555",50% off,3.2
